School_Year,OPT_Code,Is_OPT_Num,OPT_Clean,Name,Affiliation,Site_Type,Street_Address,City,State,Zip,Longitude,Latitude,Door_To_Door_Service,Stop_To_School_Service,Common_Carrier_Svc_Metrocards,Site_Reimbursement,Mid_Day_Service,D2D_Late_Day_Programs,S2S_Late_Day_Programs
2016-2017,19551,TRUE,19551,East New York Transit Tech HS,Public,School,1 WELLS STREET,Brooklyn,NY,11208,-73.875983,40.678351,Yes,No,Yes,No,No,No,No
2016-2017,19557,TRUE,19557,BROOLKYN GARDENS ELEM SCHOOL,Public,School,574 DUMONT AVENUE,Brooklyn,NY,11207,-73.897713,40.665723,Yes,Yes,Yes,No,Yes,No,No
2016-2017,19561,TRUE,19561,WILLIAM H MAXWELL VOC HS,Public,School,145 PENNSYLVANIA AVENUE,Brooklyn,NY,11207,-73.896333,40.674151,Yes,No,Yes,No,No,No,No
2016-2017,19583,TRUE,19583,MULTICULTURAL HS,Public,School,999 JAMAICA AVENUE,Brooklyn,NY,11208,-73.870217,40.690775,No,No,Yes,No,Yes,No,No
2016-2017,19600,TRUE,19600,PS 149 ANNEX,Public,School,373 PENNSYLVANIA AVE,Brooklyn,NY,11207,-73.894859,40.668388,No,No,No,No,No,No,No
2016-2017,19618,TRUE,19618,ACAD OF INNOVATIVE TECHNOLOGY,Public,School,999 JAMAICA AVENUE,Brooklyn,NY,11208,-73.870217,40.690775,Yes,No,Yes,No,No,No,No
2016-2017,19639,TRUE,19639,BROOKLYN LAB SCHOOL,Public,School,999 JAMAICA AVENUE,Brooklyn,NY,11206,-73.870217,40.690775,No,No,Yes,No,Yes,No,No
2016-2017,19654,TRUE,19654,VAN SICLEN COMM M.S.,Public,School,800 VAN SICLEN AVE,Brooklyn,NY,11207,-73.885481,40.660081,Yes,Yes,Yes,No,No,No,No
2016-2017,19655,TRUE,19655,ACHIVE FIRST APOLLO CHARTER,Charter,School,350 Linwood Street,Brooklyn,NY,11208,-73.883531,40.677089,Yes,Yes,Yes,No,Yes,No,No
2016-2017,19656,TRUE,19656,ACHIEVEMENT FIRST ENY CHARTER,Charter,School,557 PENNSYLVANIA AVENUE  ROOM 222,Brooklyn,NY,11207,-73.893658,40.663698,Yes,Yes,Yes,No,Yes,No,No
2016-2017,19657,TRUE,19657,HYDE LEADERSHIP CHARTER SCHOOL,Charter,School,330 ALABAMA AVENUE,Brooklyn,NY,11207,-73.897934,40.668158,Yes,Yes,Yes,No,Yes,No,No
2016-2017,19661,TRUE,19661,VISTA ACADEMY,Public,School,350 LINWOOD STREET,Brooklyn,NY,11208,-73.883531,40.677089,Yes,Yes,Yes,No,No,No,No
2016-2017,19662,TRUE,19662,LIBERTY AVENUE M.S.,Public,School,350 LINWOOD STREET,Brooklyn,NY,11208,-73.883531,40.677089,Yes,Yes,Yes,No,Yes,No,No
2016-2017,19663,TRUE,19663,SCHOOL OF THE FUTURE BROOKLYN,Public,School,574 DUMONT AVENUE,Brooklyn,NY,11207,-73.897713,40.665723,Yes,Yes,Yes,No,No,No,No
2016-2017,19664,TRUE,19664,IMAGINE ME LEADERSHIP CHARTER,Charter,School,818 SCHENK AVENUE,Brooklyn,NY,11207,-73.883399,40.660265,No,Yes,Yes,No,Yes,No,No
2016-2017,19665,TRUE,19665,P2G @ LINDEN LRG CTR,Public,School,1965 Linden Blvd.,Brooklyn,NY,11207,-73.88958,40.659305,No,No,Yes,No,No,No,No
2016-2017,19677,TRUE,19677,E.N.Y. ELEM SCH OF EXCELLENCE,Public,School,605 SHEPHERD AVENUE,Brooklyn,NY,11208,-73.87952,40.669415,Yes,Yes,Yes,No,No,No,No
2016-2017,19678,TRUE,19678,E.N.Y. MS OF EXCELLENCE,Public,School,605 SHEPHERD AVENUE,Brooklyn,NY,11208,-73.87952,40.669415,Yes,Yes,Yes,No,Yes,No,No
2016-2017,19680,TRUE,19680,ACHIEVE FIRST ASPIRE CHARTER,Charter,School,982 HEGEMAN AVENUE,Brooklyn,NY,11208,-73.876524,40.666347,Yes,Yes,Yes,No,Yes,No,No
2016-2017,19687,TRUE,19687,"ACAD WRITERS,THINKERS & PERFOR",Public,School,370 FOUNTAIN AVENUE,Brooklyn,NY,11208,-73.874259,40.670555,Yes,No,Yes,No,Yes,No,No
2016-2017,19700,TRUE,19700,BLESSED SACRAMENT SCHOOL,Parochial,School,187 EUCLID AVENUE,Brooklyn,NY,11208,-73.874225,40.684045,No,No,Yes,No,Yes,No,No
2016-2017,19706,TRUE,19706,GRACE CHRISTIAN ED CENTER,Nonsectarian,School,650 LIVONIA AVENUE,Brooklyn,NY,11207,-73.892894,40.664838,No,No,Yes,No,Yes,No,No
2016-2017,19715,TRUE,19715,BE'ER HAGOLAH INST,Yeshiva,School,671 LOUISIANA AVENUE,Brooklyn,NY,11239,-73.881892,40.644199,Yes,No,Yes,Yes,Yes,No,No
2016-2017,19740,TRUE,19740,BKLYN SCHOLARS CHARTER SCHOOL,Charter,School,2635 LINDEN BLVD,Brooklyn,NY,11208,-73.867274,40.669067,Yes,Yes,Yes,No,Yes,No,No
2016-2017,19754,TRUE,19754,ST PETER'S LUTHERAN,Christian,School,105 HIGHLAND PLACE,Brooklyn,NY,11208,-73.881388,40.682692,No,No,No,No,No,No,No
2016-2017,19760,TRUE,19760,HIGHLAND PARK COMM. SCHOOL,Public,School,528 RIDGEWOOD AVENUE,Brooklyn,NY,11208,-73.869595,40.686105,Yes,No,Yes,No,Yes,No,No
2016-2017,19764,TRUE,19764,URBAN ASSEMBLY SCH COLL HEALTH,Public,School,999 JAMAICA AVENUE,Brooklyn,NY,11208,-73.870217,40.690775,Yes,No,Yes,No,Yes,No,No
2016-2017,19776,TRUE,19776,R F KENNEDY INCENTIVE PROG,Parochial,School,2635 LINDEN BLVD,Brooklyn,NY,11208,-73.867274,40.669067,No,No,No,No,No,No,No
2016-2017,19788,TRUE,19788,ACHIEVE FIRST LINDEN ELEM SCH,Charter,School,800 VAN SICLEN AVENUE,Brooklyn,NY,11207,-73.885481,40.660081,Yes,Yes,Yes,No,Yes,No,No
2016-2017,19921,TRUE,19921,SPRING CREEK DEVELOPMENT CTR,Nonsectarian,School,888 FOUNTAIN AVENUE,Brooklyn,NY,11208,-73.864554,40.656655,No,No,No,No,No,No,No
