School_Year,Busbreakdown_ID,Run_Type,Bus_No,Route_Number,Reason,Schools_Serviced,count,first_opt,second_opt,third_opt,Occurred_On,Created_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Has_Contractor_Notified_Schools,Has_Contractor_Notified_Parents,Have_You_Alerted_OPT,Informed_On,Incident_Number,Last_Updated_On,Breakdown_or_Running_Late,School_Age_or_PreK,_opt_code,OPT_Code,Name,Affiliation,Site_Type,Street_Address,City,State,Zip,Longitude,Latitude,Door_To_Door_Service,Stop_To_School_Service,Common_Carrier_Svc_Metrocards,Site_Reimbursement,Mid_Day_Service,D2D_Late_Day_Programs,S2S_Late_Day_Programs,Busbreakdown_ID:1
2016-2017,1345876,Special Ed AM Run,1420,M504,Other,3.09E+13,14,30870,34800,3469,9/25/15 7:55,9/25/15 8:04,Queens,MUTUAL BUS CORP. (B2321),15,2,Yes,No,No,9/25/15 8:04,,9/25/15 8:04,Running Late,School-Age,3469,3469,Frederick Douglass Academy II,Public,School,215 WEST 114TH STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,Yes,No,No,1345876
2016-2017,1345784,Special Ed AM Run,1303,M670,Heavy Traffic,5.05E+13,14,50460,52000,5197,9/25/15 14:29,9/25/15 14:32,Bronx,LITTLE RICHIE BUS SERVICE,20,0,Yes,Yes,No,9/25/15 14:32,,9/25/15 14:32,Running Late,School-Age,5197,5197,P.S. 197,Public,School,2230 5TH AVENUE,Manhattan,NY,10037,-73.937414,40.813226,Yes,Yes,Yes,No,Yes,No,No,1345784
2016-2017,1345111,Special Ed PM Run,1303,M670,Mechanical Problem,5.05E+13,14,50460,51970,5499,9/29/15 8:29,9/29/15 8:32,Bronx,"G.V.C., LTD.",10,10,Yes,Yes,Yes,9/29/15 8:32,,9/29/15 8:32,Running Late,Pre-K,5499,5499,Frederick Douglass Academy,Public,School,2581 ADAM CLAYTON POWELL JR. BLVD.,Manhattan,NY,10039,-73.936935,40.824235,Yes,Yes,Yes,No,Yes,No,No,1345111
2016-2017,1341469,Special Ed AM Run,1303,M670,Heavy Traffic,5.05E+13,14,50460,52000,5197,10/14/15 16:38,10/14/15 17:07,Manhattan,FIRST STEPS TRANSP INC. (,,0,Yes,Yes,Yes,10/14/15 17:07,,10/14/15 17:07,Breakdown,School-Age,5197,5197,P.S. 197,Public,School,2230 5TH AVENUE,Manhattan,NY,10037,-73.937414,40.813226,Yes,Yes,Yes,No,Yes,No,No,1341469
2016-2017,1340502,Special Ed AM Run,1303,M670,Heavy Traffic,5.05E+13,14,50460,52000,5197,10/19/15 7:58,10/19/15 8:01,Bronx,PIONEER TRANSPORTATION CO,15,7,Yes,No,No,10/19/15 8:01,,10/19/15 8:01,Running Late,School-Age,5197,5197,P.S. 197,Public,School,2230 5TH AVENUE,Manhattan,NY,10037,-73.937414,40.813226,Yes,Yes,Yes,No,Yes,No,No,1340502
2016-2017,1338408,Special Ed AM Run,1420,M504,Heavy Traffic,3.09E+13,14,30870,34800,3469,10/26/15 8:25,10/26/15 8:33,Bronx,"G.V.C., LTD.",15,12,Yes,Yes,Yes,10/26/15 8:33,,10/26/15 8:33,Running Late,Pre-K,3469,3469,Frederick Douglass Academy II,Public,School,215 WEST 114TH STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,Yes,No,No,1338408
2016-2017,1336705,Special Ed AM Run,1421,M504,Heavy Traffic,3.09E+13,14,30870,34800,3469,11/2/15 7:06,11/2/15 7:18,Bronx,"G.V.C., LTD.",45,0,Yes,Yes,No,11/2/15 7:18,,11/2/15 7:18,Running Late,Pre-K,3469,3469,Frederick Douglass Academy II,Public,School,215 WEST 114TH STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,Yes,No,No,1336705
2016-2017,1334462,Special Ed AM Run,1372,M504,Heavy Traffic,3.09E+13,14,30870,34800,3469,11/12/15 8:15,11/12/15 8:18,Bronx,"G.V.C., LTD.",20,8,Yes,Yes,Yes,11/12/15 8:18,,11/12/15 8:18,Running Late,Pre-K,3469,3469,Frederick Douglass Academy II,Public,School,215 WEST 114TH STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,Yes,No,No,1334462
2016-2017,1328859,Special Ed PM Run,1335,M744,Heavy Traffic,5.09E+13,14,50850,51230,5194,12/8/15 7:52,12/8/15 7:53,Bronx,"G.V.C., LTD.",,18,Yes,Yes,Yes,12/8/15 7:53,,12/8/15 7:53,Running Late,Pre-K,5194,5194,C.S. 194,Public,School,244 WEST 144TH STREET,Manhattan,NY,10030,-73.940977,40.821463,Yes,Yes,Yes,No,Yes,No,No,1328859
2016-2017,1349662,Special Ed PM Run,TN352,M557,Heavy Traffic,520005499,9,52000,5499,,9/9/15 7:33,9/9/15 7:36,Staten Island,PIONEER TRANSPORTATION CO,15,0,Yes,No,No,9/9/15 7:36,,9/9/15 7:36,Running Late,School-Age,5499,5499,Frederick Douglass Academy,Public,School,2581 ADAM CLAYTON POWELL JR. BLVD.,Manhattan,NY,10039,-73.936935,40.824235,Yes,Yes,Yes,No,Yes,No,No,1349662
2016-2017,1343574,Special Ed PM Run,TN0352,M557,Heavy Traffic,520005499,9,52000,5499,,10/6/15 7:08,10/6/15 7:09,Bronx,"G.V.C., LTD.",20,3,Yes,Yes,No,10/6/15 7:09,,10/6/15 7:09,Running Late,Pre-K,5499,5499,Frederick Douglass Academy,Public,School,2581 ADAM CLAYTON POWELL JR. BLVD.,Manhattan,NY,10039,-73.936935,40.824235,Yes,Yes,Yes,No,Yes,No,No,1343574
2016-2017,1338400,Special Ed AM Run,1312,M990,Heavy Traffic,340603420,9,34060,3420,,10/26/15 8:30,10/26/15 8:42,Bronx,"G.V.C., LTD.",10,3,Yes,Yes,No,10/26/15 8:42,,10/26/15 9:05,Running Late,Pre-K,3420,3420,P.S. 241,Public,School,240 WEST 113TH STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1338400
2016-2017,1334520,Special Ed AM Run,1312,M990,Heavy Traffic,340603420,9,34060,3420,,11/12/15 7:40,11/12/15 7:52,Brooklyn,L & M BUS CORP.,,5,Yes,Yes,No,11/12/15 7:52,,11/12/15 7:52,Running Late,Pre-K,3420,3420,P.S. 241,Public,School,240 WEST 113TH STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1334520
2016-2017,1310220,Special Ed PM Run,TN0352,M557,Heavy Traffic,520005499,9,52000,5499,,3/4/16 7:05,3/4/16 7:09,,ACME BUS CORP. (B2321),15,3,Yes,Yes,Yes,3/4/16 7:09,,3/4/16 7:09,Running Late,School-Age,5499,5499,Frederick Douglass Academy,Public,School,2581 ADAM CLAYTON POWELL JR. BLVD.,Manhattan,NY,10039,-73.936935,40.824235,Yes,Yes,Yes,No,Yes,No,No,1310220
2016-2017,1264905,Special Ed AM Run,1395,M749,Heavy Traffic,520005197,9,52000,5197,,11/14/16 7:10,11/14/16 7:15,Brooklyn,ALLIED TRANSIT CORP.,20,3,Yes,Yes,No,11/14/16 7:15,,11/14/16 7:15,Running Late,School-Age,5197,5197,P.S. 197,Public,School,2230 5TH AVENUE,Manhattan,NY,10037,-73.937414,40.813226,Yes,Yes,Yes,No,Yes,No,No,1264905
2016-2017,1256126,Special Ed AM Run,1395,M749,Heavy Traffic,504605200,9,50460,5200,,12/14/16 7:20,12/14/16 7:22,Brooklyn,"NEW DAWN TRANSIT, LLC (B2",30,5,Yes,Yes,No,12/14/16 7:22,,12/14/16 7:22,Running Late,School-Age,5200,5200,P.S. 200,Public,School,2589 7TH AVENUE,Manhattan,NY,10039,-73.936804,40.824408,Yes,Yes,Yes,No,Yes,No,No,1256126
2016-2017,1254499,Special Ed AM Run,1395,M749,Heavy Traffic,520005197,9,52000,5197,,12/19/16 13:55,12/19/16 14:05,Bronx,PIONEER TRANSPORTATION CO,10,0,Yes,No,No,12/19/16 14:05,,12/19/16 14:05,Running Late,School-Age,5197,5197,P.S. 197,Public,School,2230 5TH AVENUE,Manhattan,NY,10037,-73.937414,40.813226,Yes,Yes,Yes,No,Yes,No,No,1254499
2016-2017,1254465,Special Ed AM Run,1389,M786,Heavy Traffic,348105563,9,34810,5563,,12/19/16 14:20,12/19/16 14:33,Brooklyn,"NEW DAWN TRANSIT, LLC (B2",45,0,Yes,Yes,No,12/19/16 14:33,,12/19/16 14:33,Running Late,School-Age,5563,5563,Democracy Prep Charter,Charter,School,2230 5TH AVENUE,Manhattan,NY,10037,-73.937414,40.813226,Yes,Yes,Yes,No,No,No,No,1254465
2016-2017,1252045,Special Ed AM Run,1431,M748,Heavy Traffic,512305200,9,51230,5200,,1/5/17 6:00,1/5/17 6:13,Bronx,LORINDA ENT. LTD.,,1,Yes,Yes,No,1/5/17 6:13,,1/5/17 7:40,Breakdown,School-Age,5200,5200,P.S. 200,Public,School,2589 7TH AVENUE,Manhattan,NY,10039,-73.936804,40.824408,Yes,Yes,Yes,No,Yes,No,No,1252045
2016-2017,1251363,Special Ed AM Run,1395,M749,Heavy Traffic,520005046,9,52000,5046,,1/6/17 7:44,1/6/17 7:46,Bronx,"G.V.C., LTD.",30,6,Yes,Yes,No,1/6/17 7:46,,1/6/17 7:46,Running Late,Pre-K,5046,5046,P.S. 46,Public,School,2987 8TH AVENUE,Manhattan,NY,10039,-73.93629,40.830671,Yes,Yes,Yes,No,Yes,No,No,1251363
2016-2017,1350256,Special Ed PM Run,TN0375,M557,Heavy Traffic,5200,4,5200,,,3/7/16 7:29,3/7/16 7:31,Bronx,"G.V.C., LTD.",20,8,Yes,Yes,No,3/7/16 7:31,,3/7/16 7:31,Running Late,Pre-K,5200,5200,P.S. 200,Public,School,2589 7TH AVENUE,Manhattan,NY,10039,-73.936804,40.824408,Yes,Yes,Yes,No,Yes,No,No,1350256
2016-2017,1349761,General Ed AM Run,24501,M1013,Won`t Start,3422,4,3422,,,9/9/15 7:07,9/9/15 7:09,Brooklyn,"NEW DAWN TRANSIT, LLC (B2",,0,Yes,Yes,No,9/9/15 7:09,,9/9/15 9:20,Breakdown,School-Age,3422,3422,Sisulu-Walker Charter,Charter,School,125 WEST 115 STREET,Manhattan,NY,10026,-73.950944,40.801754,No,Yes,Yes,No,No,No,No,1349761
2016-2017,1349733,Special Ed PM Run,56104,M392,Mechanical Problem,3185,4,3185,,,9/9/15 7:00,9/9/15 7:18,Bronx,CONSOLIDATED BUS TRANS. I,30,0,Yes,Yes,No,9/9/15 7:18,,9/9/15 7:18,Running Late,School-Age,3185,3185,P.S. 185,Public,School,20 WEST 112TH STREET,Manhattan,NY,10026,-73.948701,40.798192,Yes,Yes,Yes,No,Yes,No,No,1349733
2016-2017,1349695,Special Ed PM Run,56104,M392,Late return from Field Trip,3185,4,3185,,,9/9/15 7:27,9/9/15 7:29,Bronx,PIONEER TRANSPORTATION CO,15,3,Yes,No,No,9/9/15 7:29,,9/9/15 7:29,Running Late,School-Age,3185,3185,P.S. 185,Public,School,20 WEST 112TH STREET,Manhattan,NY,10026,-73.948701,40.798192,Yes,Yes,Yes,No,Yes,No,No,1349695
2016-2017,1349444,Special Ed AM Run,4532,M625,Heavy Traffic,5092,4,5092,,,9/9/15 8:00,9/9/15 8:19,Staten Island,ALL AMERICAN SCHOOL BUS C,90,0,Yes,No,No,9/9/15 8:19,,9/9/15 8:20,Running Late,School-Age,5092,5092,P.S. 92,Public,School,222 WEST 134TH STREET,Manhattan,NY,10030,-73.945153,40.814941,Yes,Yes,Yes,No,Yes,No,No,1349444
2016-2017,1349439,General Ed AM Run,24534,M1496,Other,3749,4,3749,,,9/9/15 8:07,9/9/15 8:20,Brooklyn,L & M BUS CORP.,30,7,Yes,Yes,Yes,9/9/15 8:20,,9/9/15 11:24,Running Late,Pre-K,3749,3749,New York French American Charter,Charter,School,311 WEST 120TH STREET,Manhattan,NY,10027,-73.954083,40.807325,Yes,Yes,Yes,No,Yes,No,No,1349439
2016-2017,1349358,General Ed AM Run,8023,M8136,Heavy Traffic,3325,4,3325,,,9/9/15 8:35,9/9/15 8:50,Brooklyn,L & M BUS CORP (A),20,0,No,Yes,No,9/9/15 8:50,,9/9/15 8:50,Running Late,School-Age,3325,3325,Wadleigh High School for the Visual and Performing Arts,Public,School,215 WEST 114 STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,No,No,No,1349358
2016-2017,1349167,General Ed PM Run,20418,M9006,Late return from Field Trip,5318,4,5318,,,9/10/15 6:55,9/10/15 7:06,Manhattan,LEESEL TRANSP CORP (B2192,20,2,Yes,Yes,Yes,9/10/15 7:06,,9/10/15 7:06,Running Late,School-Age,5318,5318,Thurgood Marshall Academy Lower School,Public,School,282 WEST 151st STREET,Manhattan,NY,10039,-73.938058,40.826068,No,Yes,Yes,No,Yes,No,No,1349167
2016-2017,1348955,General Ed AM Run,25558,M1496,Other,3749,4,3749,,,9/10/15 7:55,9/10/15 8:02,Bronx,PIONEER TRANSPORTATION CO,15,5,Yes,No,No,9/10/15 8:02,,9/10/15 8:02,Running Late,School-Age,3749,3749,New York French American Charter,Charter,School,311 WEST 120TH STREET,Manhattan,NY,10027,-73.954083,40.807325,Yes,Yes,Yes,No,Yes,No,No,1348955
2016-2017,1348697,Special Ed PM Run,10256,M393,Late return from Field Trip,5197,4,5197,,,9/11/15 6:15,9/11/15 6:33,Brooklyn,JOFAZ TRANSPORTATION INC.,45,0,Yes,Yes,Yes,9/11/15 6:33,,9/11/15 6:33,Running Late,School-Age,5197,5197,P.S. 197,Public,School,2230 5TH AVENUE,Manhattan,NY,10037,-73.937414,40.813226,Yes,Yes,Yes,No,Yes,No,No,1348697
2016-2017,1348367,Special Ed AM Run,1011,M462,Heavy Traffic,3469,4,3469,,,9/11/15 13:43,9/11/15 13:47,Brooklyn,"BORO TRANSIT, INC.",45,28,Yes,No,No,9/11/15 13:47,,9/11/15 13:49,Running Late,School-Age,3469,3469,Frederick Douglass Academy II,Public,School,215 WEST 114TH STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,Yes,No,No,1348367
2016-2017,1347976,Special Ed AM Run,2594,M633,Other,3279,4,3279,,,9/16/15 7:30,9/16/15 7:51,Bronx,ANOTHER RIDE INC.,10,7,Yes,Yes,No,9/16/15 7:51,,9/16/15 7:51,Running Late,Pre-K,3279,3279,Opportunity Charter,Charter,School,240 WEST 113 STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1347976
2016-2017,1347700,Special Ed AM Run,1011,M462,Other,3469,4,3469,,,9/16/15 15:20,9/16/15 15:38,Bronx,"G.V.C., LTD.",10,1,Yes,No,Yes,9/16/15 15:38,,9/16/15 15:38,Running Late,Pre-K,3469,3469,Frederick Douglass Academy II,Public,School,215 WEST 114TH STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,Yes,No,No,1347700
2016-2017,1347661,General Ed PM Run,25747,M9066,Won`t Start,3208,4,3208,,,9/17/15 6:15,9/17/15 6:30,Bronx,"RELIANT TRANS, INC. (B232",20,0,Yes,Yes,Yes,9/17/15 6:30,,9/17/15 6:30,Running Late,School-Age,3208,3208,P.S. 208,Public,School,21 WEST 111TH STREET,Manhattan,NY,10026,-73.949646,40.797932,Yes,Yes,Yes,No,Yes,No,No,1347661
2016-2017,1347557,Special Ed AM Run,1502,M462,Heavy Traffic,3469,4,3469,,,9/17/15 7:11,9/17/15 7:18,Brooklyn,"NEW DAWN TRANSIT, LLC (B2",30,4,Yes,Yes,No,9/17/15 7:18,,9/17/15 7:18,Running Late,School-Age,3469,3469,Frederick Douglass Academy II,Public,School,215 WEST 114TH STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,Yes,No,No,1347557
2016-2017,1347332,Special Ed AM Run,4533,M629,Heavy Traffic,3279,4,3279,,,9/17/15 7:49,9/17/15 8:44,Brooklyn,"NEW DAWN TRANSIT, LLC (B2",10,10,Yes,Yes,No,9/17/15 8:44,,9/17/15 8:45,Running Late,School-Age,3279,3279,Opportunity Charter,Charter,School,240 WEST 113 STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1347332
2016-2017,1347137,Special Ed AM Run,1011,M462,Heavy Traffic,3469,4,3469,,,9/18/15 7:00,9/18/15 7:31,Nassau County,LOGAN BUS COMPANY INC.,45,0,Yes,Yes,No,9/18/15 7:31,,9/18/15 7:31,Running Late,School-Age,3469,3469,Frederick Douglass Academy II,Public,School,215 WEST 114TH STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,Yes,No,No,1347137
2016-2017,1346939,General Ed PM Run,28752,M9159,Mechanical Problem,3749,4,3749,,,9/18/15 13:34,9/18/15 13:38,Staten Island,"RELIANT TRANS, INC. (B232",,0,Yes,Yes,Yes,9/18/15 13:38,,9/18/15 13:38,Breakdown,School-Age,3749,3749,New York French American Charter,Charter,School,311 WEST 120TH STREET,Manhattan,NY,10027,-73.954083,40.807325,Yes,Yes,Yes,No,Yes,No,No,1346939
2016-2017,1346287,Special Ed AM Run,1011,M462,Mechanical Problem,3469,4,3469,,,9/22/15 7:40,9/22/15 7:52,,ACME BUS CORP. (B2321),15,5,Yes,Yes,Yes,9/22/15 7:52,,9/22/15 7:52,Running Late,School-Age,3469,3469,Frederick Douglass Academy II,Public,School,215 WEST 114TH STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,Yes,No,No,1346287
2016-2017,1346273,Special Ed AM Run,2210,M175,Heavy Traffic,3325,4,3325,,,9/22/15 7:55,9/22/15 7:58,Bronx,"G.V.C., LTD.",5,2,Yes,Yes,No,9/22/15 7:58,,9/22/15 7:58,Running Late,Pre-K,3325,3325,Wadleigh High School for the Visual and Performing Arts,Public,School,215 WEST 114 STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,No,No,No,1346273
2016-2017,1346068,General Ed PM Run,28752,M9159,Mechanical Problem,3749,4,3749,,,9/25/15 6:26,9/25/15 6:38,Manhattan,CONSOLIDATED BUS TRANS. I,45,0,Yes,Yes,No,9/25/15 6:38,,9/25/15 6:38,Running Late,School-Age,3749,3749,New York French American Charter,Charter,School,311 WEST 120TH STREET,Manhattan,NY,10027,-73.954083,40.807325,Yes,Yes,Yes,No,Yes,No,No,1346068
2016-2017,1345982,Special Ed PM Run,1011,M462,Heavy Traffic,3469,4,3469,,,9/25/15 7:23,9/25/15 7:24,Brooklyn,"NEW DAWN TRANSIT, LLC (B2",30,3,Yes,Yes,No,9/25/15 7:24,,9/25/15 12:08,Running Late,School-Age,3469,3469,Frederick Douglass Academy II,Public,School,215 WEST 114TH STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,Yes,No,No,1345982
2016-2017,1345823,Special Ed AM Run,1197,M615,Heavy Traffic,3749,4,3749,,,9/25/15 6:58,9/25/15 8:47,Queens,L & M BUS CORP. (B2192),30,0,Yes,Yes,No,9/25/15 8:47,,9/25/15 8:47,Running Late,School-Age,3749,3749,New York French American Charter,Charter,School,311 WEST 120TH STREET,Manhattan,NY,10027,-73.954083,40.807325,Yes,Yes,Yes,No,Yes,No,No,1345823
2016-2017,1345752,Special Ed AM Run,56105,M393,Heavy Traffic,5197,4,5197,,,9/28/15 6:10,9/28/15 6:12,Queens,ALL AMERICAN SCHOOL BUS C,20,0,No,No,No,9/28/15 6:12,,9/28/15 7:18,Running Late,School-Age,5197,5197,P.S. 197,Public,School,2230 5TH AVENUE,Manhattan,NY,10037,-73.937414,40.813226,Yes,Yes,Yes,No,Yes,No,No,1345752
2016-2017,1344868,Special Ed AM Run,1321,M111,Mechanical Problem,3406,4,3406,,,9/30/15 7:36,9/30/15 7:41,Bronx,"DON THOMAS BUSES, INC. (B",30,2,Yes,Yes,Yes,9/30/15 7:41,,9/30/15 7:41,Running Late,School-Age,3406,3406,P.S. 242,Public,School,134 WEST 122 STREET,Manhattan,NY,10027,-73.948056,40.80623,Yes,Yes,Yes,No,Yes,No,No,1344868
2016-2017,1344684,Special Ed AM Run,2826,M625,Mechanical Problem,5092,4,5092,,,10/1/15 5:55,10/1/15 5:57,Brooklyn,ALLIED TRANSIT CORP.,,0,Yes,Yes,No,10/1/15 5:57,,10/1/15 5:57,Running Late,School-Age,5092,5092,P.S. 92,Public,School,222 WEST 134TH STREET,Manhattan,NY,10030,-73.945153,40.814941,Yes,Yes,Yes,No,Yes,No,No,1344684
2016-2017,1344548,Special Ed AM Run,1321,M111,Heavy Traffic,3406,4,3406,,,10/1/15 7:43,10/1/15 7:44,Bronx,"G.V.C., LTD.",7,11,Yes,Yes,No,10/1/15 7:44,,10/1/15 7:44,Running Late,Pre-K,3406,3406,P.S. 242,Public,School,134 WEST 122 STREET,Manhattan,NY,10027,-73.948056,40.80623,Yes,Yes,Yes,No,Yes,No,No,1344548
2016-2017,1344520,Special Ed AM Run,1327,M921,Heavy Traffic,3149,4,3149,,,10/1/15 7:42,10/1/15 7:52,Staten Island,PIONEER TRANSPORTATION CO,10,0,Yes,No,No,10/1/15 7:52,,10/1/15 7:52,Running Late,School-Age,3149,3149,P.S./M.S. 149 Sojourner Truth School,Public,School,41 WEST 117TH STREET,Manhattan,NY,10026,-73.947773,40.802201,Yes,Yes,Yes,No,Yes,No,No,1344520
2016-2017,1344485,Special Ed AM Run,1426,M730,Heavy Traffic,5154,4,5154,,,10/1/15 7:54,10/1/15 8:03,Brooklyn,"NEW DAWN TRANSIT, LLC (B2",30,12,Yes,Yes,No,10/1/15 8:03,,10/1/15 8:04,Running Late,School-Age,5154,5154,P.S. 154,Public,School,250 WEST 127TH STREET,Manhattan,NY,10027,-73.948893,40.810822,Yes,Yes,Yes,No,Yes,No,No,1344485
2016-2017,1344446,Special Ed AM Run,1011,M462,Heavy Traffic,3469,4,3469,,,10/1/15 8:43,10/1/15 8:44,Bronx,"G.V.C., LTD.",10,3,Yes,Yes,No,10/1/15 8:44,,10/1/15 8:44,Running Late,Pre-K,3469,3469,Frederick Douglass Academy II,Public,School,215 WEST 114TH STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,Yes,No,No,1344446
2016-2017,1343997,Special Ed AM Run,1011,M462,Heavy Traffic,3469,4,3469,,,10/2/15 17:18,10/2/15 17:24,Bronx,"G.V.C., LTD.",20,0,Yes,Yes,No,10/2/15 17:24,,10/2/15 17:24,Running Late,Pre-K,3469,3469,Frederick Douglass Academy II,Public,School,215 WEST 114TH STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,Yes,No,No,1343997
2016-2017,1343908,Special Ed AM Run,1412,M990,Heavy Traffic,3406,4,3406,,,10/5/15 7:02,10/5/15 7:03,Brooklyn,L & M BUS CORP. (B2321),20,0,Yes,Yes,No,10/5/15 7:03,,10/5/15 7:59,Running Late,School-Age,3406,3406,P.S. 242,Public,School,134 WEST 122 STREET,Manhattan,NY,10027,-73.948056,40.80623,Yes,Yes,Yes,No,Yes,No,No,1343908
2016-2017,1343259,General Ed AM Run,21444,M1013,Won`t Start,3422,4,3422,,,10/7/15 7:02,10/7/15 7:03,Bronx,"G.V.C., LTD.",15,2,Yes,Yes,No,10/7/15 7:03,,10/7/15 7:03,Running Late,Pre-K,3422,3422,Sisulu-Walker Charter,Charter,School,125 WEST 115 STREET,Manhattan,NY,10026,-73.950944,40.801754,No,Yes,Yes,No,No,No,No,1343259
2016-2017,1342947,General Ed AM Run,3000,M8213,Heavy Traffic,5046,4,5046,,,10/8/15 6:42,10/8/15 6:46,Brooklyn,"NEW DAWN TRANSIT, LLC (B2",10,1,Yes,Yes,No,10/8/15 6:46,,10/8/15 6:46,Running Late,School-Age,5046,5046,P.S. 46,Public,School,2987 8TH AVENUE,Manhattan,NY,10039,-73.93629,40.830671,Yes,Yes,Yes,No,Yes,No,No,1342947
2016-2017,1342925,Special Ed AM Run,1722,M192,Flat Tire,3469,4,3469,,,10/8/15 7:00,10/8/15 7:01,Brooklyn,L & M BUS CORP. (B2192),45,0,Yes,Yes,No,10/8/15 7:01,,10/8/15 7:46,Running Late,School-Age,3469,3469,Frederick Douglass Academy II,Public,School,215 WEST 114TH STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,Yes,No,No,1342925
2016-2017,1342503,Special Ed AM Run,2688,M636,Heavy Traffic,3279,4,3279,,,10/9/15 7:35,10/9/15 7:47,Westchester,MAR-CAN TRANSPORT CO. INC,15,4,Yes,No,No,10/9/15 7:47,,10/9/15 8:22,Running Late,School-Age,3279,3279,Opportunity Charter,Charter,School,240 WEST 113 STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1342503
2016-2017,1342492,Special Ed AM Run,4523,M635,Heavy Traffic,3279,4,3279,,,10/9/15 7:48,10/9/15 7:49,Staten Island,B & F SKILLED INC.(B2192),10,2,Yes,Yes,No,10/9/15 7:49,,10/9/15 7:49,Running Late,School-Age,3279,3279,Opportunity Charter,Charter,School,240 WEST 113 STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1342492
2016-2017,1342458,Special Ed AM Run,1011,M462,Weather Conditions,3469,4,3469,,,10/9/15 7:55,10/9/15 7:58,Westchester,MAR-CAN TRANSPORT CO. INC,15,4,Yes,No,No,10/9/15 7:58,,10/9/15 8:15,Running Late,School-Age,3469,3469,Frederick Douglass Academy II,Public,School,215 WEST 114TH STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,Yes,No,No,1342458
2016-2017,1341697,Special Ed PM Run,1359,M117,Mechanical Problem,3329,4,3329,,,10/14/15 7:44,10/14/15 7:46,Bronx,G.V.C. LTD. (B2192),10,6,Yes,No,No,10/14/15 7:46,,10/14/15 7:46,Running Late,School-Age,3329,3329,Harlem Link Charter School,Charter,School,20 WEST 112 STREET,Manhattan,NY,10026,-73.948701,40.798192,Yes,Yes,Yes,No,Yes,No,No,1341697
2016-2017,1341608,General Ed Field Trip,25593,M1205,Mechanical Problem,3329,4,3329,,,10/14/15 8:18,10/14/15 8:18,Bronx,"G.V.C., LTD.",10,2,Yes,Yes,No,10/14/15 8:18,,10/14/15 8:18,Running Late,Pre-K,3329,3329,Harlem Link Charter School,Charter,School,20 WEST 112 STREET,Manhattan,NY,10026,-73.948701,40.798192,Yes,Yes,Yes,No,Yes,No,No,1341608
2016-2017,1341528,Special Ed AM Run,1355,M092,Mechanical Problem,3351,4,3351,,,10/14/15 13:48,10/14/15 13:54,Queens,EMPIRE STATE BUS CORP.,45,35,Yes,Yes,No,10/14/15 13:54,,10/14/15 13:54,Running Late,School-Age,3351,3351,Success Academy Harlem 1,Charter,School,34 WEST 118 ST  2ND FLOOR,Manhattan,NY,10026,-73.946752,40.802399,Yes,Yes,Yes,No,Yes,No,No,1341528
2016-2017,1341522,Special Ed AM Run,1011,M462,Heavy Traffic,3469,4,3469,,,10/14/15 13:59,10/14/15 14:04,Brooklyn,"RELIANT TRANS, INC. (B232",,0,Yes,Yes,Yes,10/14/15 14:04,,10/14/15 14:04,Running Late,School-Age,3469,3469,Frederick Douglass Academy II,Public,School,215 WEST 114TH STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,Yes,No,No,1341522
