School_Year,Busbreakdown_ID,Run_Type,Bus_No,Route_Number,Reason,Schools_Serviced,count,first_opt,second_opt,third_opt,Occurred_On,Created_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Has_Contractor_Notified_Schools,Has_Contractor_Notified_Parents,Have_You_Alerted_OPT,Informed_On,Incident_Number,Last_Updated_On,Breakdown_or_Running_Late,School_Age_or_PreK,_opt_code,OPT_Code,Name,Affiliation,Site_Type,Street_Address,City,State,Zip,Longitude,Latitude,Door_To_Door_Service,Stop_To_School_Service,Common_Carrier_Svc_Metrocards,Site_Reimbursement,Mid_Day_Service,D2D_Late_Day_Programs,S2S_Late_Day_Programs,Busbreakdown_ID:1
2016-2017,1308739,Special Ed AM Run,1327,M921,Heavy Traffic,3149,4,3149,,,3/11/16 6:29,3/11/16 6:31,Staten Island,PIONEER TRANSPORTATION CO,10,0,Yes,No,No,3/11/16 6:31,,3/11/16 6:31,Running Late,School-Age,3149,3149,P.S./M.S. 149 Sojourner Truth School,Public,School,41 WEST 117TH STREET,Manhattan,NY,10026,-73.947773,40.802201,Yes,Yes,Yes,No,Yes,No,No,1308739
2016-2017,1308623,Special Ed AM Run,4523,M635,Heavy Traffic,3279,4,3279,,,3/11/16 7:30,3/11/16 7:40,Queens,LORISSA BUS SERVICE INC.,,0,No,No,No,3/11/16 7:40,,3/11/16 7:40,Breakdown,School-Age,3279,3279,Opportunity Charter,Charter,School,240 WEST 113 STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1308623
2016-2017,1308534,General Ed AM Run,6107,M8085,Heavy Traffic,3076,4,3076,,,3/11/16 6:30,3/11/16 8:15,Brooklyn,SMART PICK,25,5,Yes,Yes,No,3/11/16 8:15,,3/11/16 8:15,Running Late,Pre-K,3076,3076,P.S./M.S. 76,Public,School,220 WEST 121ST STREET,Manhattan,NY,10027,-73.951103,40.806696,Yes,Yes,Yes,No,No,No,No,1308534
2016-2017,1308317,Special Ed AM Run,1327,M921,Heavy Traffic,3149,4,3149,,,3/14/16 7:22,3/14/16 7:25,Queens,LORINDA ENT. LTD.,,1,Yes,Yes,No,3/14/16 7:25,,3/14/16 7:41,Breakdown,School-Age,3149,3149,P.S./M.S. 149 Sojourner Truth School,Public,School,41 WEST 117TH STREET,Manhattan,NY,10026,-73.947773,40.802201,Yes,Yes,Yes,No,Yes,No,No,1308317
2016-2017,1308124,General Ed AM Run,741,M8085,Heavy Traffic,3076,4,3076,,,3/14/16 15:19,3/14/16 15:20,Brooklyn,Y & M TRANSIT CORP (B2192,,5,Yes,Yes,No,3/14/16 15:20,,3/14/16 15:25,Breakdown,School-Age,3076,3076,P.S./M.S. 76,Public,School,220 WEST 121ST STREET,Manhattan,NY,10027,-73.951103,40.806696,Yes,Yes,Yes,No,No,No,No,1308124
2016-2017,1307713,Special Ed AM Run,19242,M393,Heavy Traffic,5197,4,5197,,,3/16/16 7:06,3/16/16 7:14,Manhattan,"RELIANT TRANS, INC. (B232",20,2,Yes,Yes,Yes,3/16/16 7:14,,3/16/16 7:14,Running Late,School-Age,5197,5197,P.S. 197,Public,School,2230 5TH AVENUE,Manhattan,NY,10037,-73.937414,40.813226,Yes,Yes,Yes,No,Yes,No,No,1307713
2016-2017,1307578,Special Ed AM Run,2712,M622,Mechanical Problem,5197,4,5197,,,3/16/16 14:10,3/16/16 14:14,Manhattan,"RELIANT TRANS, INC. (B232",25,0,Yes,Yes,No,3/16/16 14:14,,3/16/16 14:14,Running Late,School-Age,5197,5197,P.S. 197,Public,School,2230 5TH AVENUE,Manhattan,NY,10037,-73.937414,40.813226,Yes,Yes,Yes,No,Yes,No,No,1307578
2016-2017,1307548,Special Ed AM Run,1722,M192,Heavy Traffic,3469,4,3469,,,3/16/16 18:28,3/16/16 18:30,Queens,LORINDA ENT. LTD.,,3,Yes,Yes,No,3/16/16 18:30,,3/16/16 18:30,Breakdown,School-Age,3469,3469,Frederick Douglass Academy II,Public,School,215 WEST 114TH STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,Yes,No,No,1307548
2016-2017,1307406,Special Ed AM Run,1321,M921,Heavy Traffic,3149,4,3149,,,3/17/16 6:30,3/17/16 7:26,Brooklyn,PENNY TRANSPORTATION,30,0,Yes,Yes,No,3/17/16 7:26,,3/17/16 7:26,Running Late,Pre-K,3149,3149,P.S./M.S. 149 Sojourner Truth School,Public,School,41 WEST 117TH STREET,Manhattan,NY,10026,-73.947773,40.802201,Yes,Yes,Yes,No,Yes,No,No,1307406
2016-2017,1307043,Special Ed AM Run,56108,M454,Heavy Traffic,3076,4,3076,,,3/21/16 5:24,3/21/16 5:28,Brooklyn,"MV TRANSPORTATION, INC.",15,0,Yes,Yes,Yes,3/21/16 5:28,,3/21/16 5:28,Running Late,School-Age,3076,3076,P.S./M.S. 76,Public,School,220 WEST 121ST STREET,Manhattan,NY,10027,-73.951103,40.806696,Yes,Yes,Yes,No,No,No,No,1307043
2016-2017,1306937,Special Ed AM Run,2438,M620,Mechanical Problem,3469,4,3469,,,3/21/16 6:50,3/21/16 6:56,Brooklyn,Y & M TRANSIT CORP (B2192,,0,Yes,Yes,No,3/21/16 6:56,,3/21/16 6:56,Running Late,School-Age,3469,3469,Frederick Douglass Academy II,Public,School,215 WEST 114TH STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,Yes,No,No,1306937
2016-2017,1306356,Special Ed AM Run,4523,M635,Heavy Traffic,3279,4,3279,,,3/23/16 6:40,3/23/16 6:44,Brooklyn,"NEW DAWN TRANSIT, LLC (B2",15,1,Yes,Yes,No,3/23/16 6:44,,3/23/16 6:44,Running Late,School-Age,3279,3279,Opportunity Charter,Charter,School,240 WEST 113 STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1306356
2016-2017,1304306,General Ed AM Run,20431,M1013,Other,3422,4,3422,,,4/4/16 7:35,4/4/16 7:39,Brooklyn,EMPIRE STATE BUS CORP.,20,12,Yes,Yes,No,4/4/16 7:39,,4/4/16 7:39,Running Late,School-Age,3422,3422,Sisulu-Walker Charter,Charter,School,125 WEST 115 STREET,Manhattan,NY,10026,-73.950944,40.801754,No,Yes,Yes,No,No,No,No,1304306
2016-2017,1304017,Special Ed AM Run,4523,M635,Heavy Traffic,3279,4,3279,,,4/5/16 6:57,4/5/16 6:58,Bronx,VAN TRANS LLC (B2192),15,8,Yes,Yes,Yes,4/5/16 6:58,2869915,4/5/16 7:23,Running Late,School-Age,3279,3279,Opportunity Charter,Charter,School,240 WEST 113 STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1304017
2016-2017,1303879,General Ed AM Run,6151,M8204,Flat Tire,5154,4,5154,,,4/5/16 7:43,4/5/16 7:44,Manhattan,LEESEL TRANSP CORP (B2192,20,3,Yes,Yes,No,4/5/16 7:44,,4/5/16 7:44,Running Late,School-Age,5154,5154,P.S. 154,Public,School,250 WEST 127TH STREET,Manhattan,NY,10027,-73.948893,40.810822,Yes,Yes,Yes,No,Yes,No,No,1303879
2016-2017,1303545,General Ed AM Run,24521,M1157,Mechanical Problem,3329,4,3329,,,4/6/16 7:44,4/6/16 7:46,Brooklyn,"RELIANT TRANS, INC. (B232",20,4,Yes,Yes,Yes,4/6/16 7:46,,4/6/16 7:46,Running Late,School-Age,3329,3329,Harlem Link Charter School,Charter,School,20 WEST 112 STREET,Manhattan,NY,10026,-73.948701,40.798192,Yes,Yes,Yes,No,Yes,No,No,1303545
2016-2017,1303399,Special Ed AM Run,2045,M633,Mechanical Problem,3279,4,3279,,,4/6/16 16:00,4/6/16 16:24,Brooklyn,"BORO TRANSIT, INC.",,3,Yes,Yes,No,4/6/16 16:24,,4/6/16 16:24,Running Late,School-Age,3279,3279,Opportunity Charter,Charter,School,240 WEST 113 STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1303399
2016-2017,1303162,Special Ed AM Run,2740,M799,Heavy Traffic,3208,4,3208,,,4/7/16 8:05,4/7/16 8:07,Manhattan,LEESEL TRANSP CORP (B2192,45,4,Yes,Yes,No,4/7/16 8:07,,4/7/16 8:07,Running Late,School-Age,3208,3208,P.S. 208,Public,School,21 WEST 111TH STREET,Manhattan,NY,10026,-73.949646,40.797932,Yes,Yes,Yes,No,Yes,No,No,1303162
2016-2017,1303112,Special Ed AM Run,1395,M671,Heavy Traffic,5200,4,5200,,,4/7/16 9:11,4/7/16 9:11,Manhattan,SNT BUS INC,,0,Yes,Yes,No,4/7/16 9:11,,4/7/16 9:11,Breakdown,School-Age,5200,5200,P.S. 200,Public,School,2589 7TH AVENUE,Manhattan,NY,10039,-73.936804,40.824408,Yes,Yes,Yes,No,Yes,No,No,1303112
2016-2017,1303021,Special Ed AM Run,4523,M635,Heavy Traffic,3279,4,3279,,,4/8/16 6:26,4/8/16 6:26,Queens,LOGAN BUS COMPANY INC.,,0,Yes,Yes,No,4/8/16 6:26,,4/8/16 6:26,Breakdown,School-Age,3279,3279,Opportunity Charter,Charter,School,240 WEST 113 STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1303021
2016-2017,1302425,Special Ed AM Run,2688,M636,Mechanical Problem,3279,4,3279,,,4/12/16 6:25,4/12/16 6:27,Bronx,LITTLE RICHIE BUS SERVICE,,0,Yes,No,No,4/12/16 6:27,,4/12/16 6:27,Breakdown,School-Age,3279,3279,Opportunity Charter,Charter,School,240 WEST 113 STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1302425
2016-2017,1301326,Special Ed AM Run,2517,M619,Won`t Start,3325,4,3325,,,4/15/16 7:15,4/15/16 7:33,Brooklyn,"NEW DAWN TRANSIT, LLC (B2",25,13,Yes,Yes,No,4/15/16 7:33,,4/15/16 7:33,Running Late,School-Age,3325,3325,Wadleigh High School for the Visual and Performing Arts,Public,School,215 WEST 114 STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,No,No,No,1301326
2016-2017,1301110,Special Ed AM Run,2688,M636,Heavy Traffic,3279,4,3279,,,4/18/16 6:12,4/18/16 6:13,Brooklyn,"RELIANT TRANS, INC. (B232",20,0,Yes,Yes,Yes,4/18/16 6:13,,4/18/16 6:13,Running Late,School-Age,3279,3279,Opportunity Charter,Charter,School,240 WEST 113 STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1301110
2016-2017,1300959,Special Ed AM Run,2511,M633,Mechanical Problem,3279,4,3279,,,4/18/16 7:30,4/18/16 7:33,Brooklyn,"NEW DAWN TRANSIT, LLC (B2",30,3,Yes,Yes,No,4/18/16 7:33,,4/18/16 7:33,Running Late,School-Age,3279,3279,Opportunity Charter,Charter,School,240 WEST 113 STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1300959
2016-2017,1300794,Special Ed AM Run,4523,M635,Heavy Traffic,3279,4,3279,,,4/18/16 15:00,4/18/16 15:06,Brooklyn,Y & M TRANSIT CORP (B2192,,0,Yes,Yes,No,4/18/16 15:06,,4/18/16 15:06,Running Late,School-Age,3279,3279,Opportunity Charter,Charter,School,240 WEST 113 STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1300794
2016-2017,1300522,General Ed AM Run,24534,M1496,Mechanical Problem,3749,4,3749,,,4/19/16 14:07,4/19/16 14:13,Bronx,VAN TRANS LLC (B2192),25,0,Yes,Yes,Yes,4/19/16 14:13,2881689,4/19/16 16:32,Running Late,School-Age,3749,3749,New York French American Charter,Charter,School,311 WEST 120TH STREET,Manhattan,NY,10027,-73.954083,40.807325,Yes,Yes,Yes,No,Yes,No,No,1300522
2016-2017,1300423,Special Ed AM Run,56108,M454,Other,3076,4,3076,,,4/20/16 6:30,4/20/16 6:56,Brooklyn,"NEW DAWN TRANSIT, LLC (B2",30,0,Yes,Yes,No,4/20/16 6:56,,4/20/16 6:56,Running Late,School-Age,3076,3076,P.S./M.S. 76,Public,School,220 WEST 121ST STREET,Manhattan,NY,10027,-73.951103,40.806696,Yes,Yes,Yes,No,No,No,No,1300423
2016-2017,1299984,Special Ed AM Run,2688,M636,Heavy Traffic,3279,4,3279,,,4/21/16 8:00,4/21/16 8:06,Manhattan,SNT BUS INC,20,10,Yes,Yes,Yes,4/21/16 8:06,,4/21/16 8:06,Running Late,School-Age,3279,3279,Opportunity Charter,Charter,School,240 WEST 113 STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1299984
2016-2017,1299897,Special Ed AM Run,2826,M625,Heavy Traffic,5092,4,5092,,,4/21/16 14:07,4/21/16 14:09,Brooklyn,ALL AMERICAN SCHOOL BUS C,30,0,Yes,No,No,4/21/16 14:09,,4/21/16 14:12,Running Late,School-Age,5092,5092,P.S. 92,Public,School,222 WEST 134TH STREET,Manhattan,NY,10030,-73.945153,40.814941,Yes,Yes,Yes,No,Yes,No,No,1299897
2016-2017,1299886,Special Ed AM Run,4523,M635,Heavy Traffic,3279,4,3279,,,4/21/16 14:10,4/21/16 14:19,Manhattan,"BORO TRANSIT, INC.",25,0,No,Yes,Yes,4/21/16 14:19,,4/21/16 14:19,Running Late,School-Age,3279,3279,Opportunity Charter,Charter,School,240 WEST 113 STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1299886
2016-2017,1299867,Special Ed AM Run,2078,M799,Weather Conditions,3208,4,3208,,,4/21/16 14:39,4/21/16 14:43,Brooklyn,EMPIRE STATE BUS CORP.,,6,Yes,Yes,No,4/21/16 14:43,,4/21/16 14:43,Running Late,School-Age,3208,3208,P.S. 208,Public,School,21 WEST 111TH STREET,Manhattan,NY,10026,-73.949646,40.797932,Yes,Yes,Yes,No,Yes,No,No,1299867
2016-2017,1299797,General Ed AM Run,24501,M1013,Heavy Traffic,3422,4,3422,,,4/22/16 6:30,4/22/16 6:46,Brooklyn,"NEW DAWN TRANSIT, LLC (B2",45,0,Yes,Yes,No,4/22/16 6:46,,4/22/16 6:46,Running Late,School-Age,3422,3422,Sisulu-Walker Charter,Charter,School,125 WEST 115 STREET,Manhattan,NY,10026,-73.950944,40.801754,No,Yes,Yes,No,No,No,No,1299797
